pokeID,name,move
1,Bulbasaur,Growl
1,Bulbasaur,Tackle
1,Bulbasaur,Vine Whip
1,Bulbasaur,Growth
1,Bulbasaur,Leech Seed
1,Bulbasaur,Razor Leaf
1,Bulbasaur,Poison Powder
1,Bulbasaur,Sleep Powder
1,Bulbasaur,Seed Bomb
1,Bulbasaur,Take Down
1,Bulbasaur,Sweet Scent
1,Bulbasaur,Synthesis
1,Bulbasaur,Worry Seed
1,Bulbasaur,Double-Edge
1,Bulbasaur,Solar Beam
1,Bulbasaur,Curse
1,Bulbasaur,Ingrain
1,Bulbasaur,Nature Power
1,Bulbasaur,Petal Dance
1,Bulbasaur,Skull Bash
1,Bulbasaur,Toxic
1,Bulbasaur,Grassy Glide
1,Bulbasaur,Magical Leaf
1,Bulbasaur,Solar Beam
1,Bulbasaur,Light Screen
1,Bulbasaur,Safeguard
1,Bulbasaur,Rest
1,Bulbasaur,Snore
1,Bulbasaur,Protect
1,Bulbasaur,Giga Drain
1,Bulbasaur,Charm
1,Bulbasaur,Attract
1,Bulbasaur,Sunny Day
1,Bulbasaur,Facade
1,Bulbasaur,Helping Hand
1,Bulbasaur,Weather Ball
1,Bulbasaur,Bullet Seed
1,Bulbasaur,Venoshock
1,Bulbasaur,Round
1,Bulbasaur,Grassy Terrain
1,Bulbasaur,False Swipe
1,Bulbasaur,Swords Dance
1,Bulbasaur,Body Slam
1,Bulbasaur,Amnesia
1,Bulbasaur,Substitute
1,Bulbasaur,Sludge Bomb
1,Bulbasaur,Endure
1,Bulbasaur,Sleep Talk
1,Bulbasaur,Seed Bomb
1,Bulbasaur,Energy Ball
1,Bulbasaur,Leaf Storm
1,Bulbasaur,Power Whip
1,Bulbasaur,Grass Knot
1,Bulbasaur,Work Up
2,Ivysaur,Growl
2,Ivysaur,Growth
2,Ivysaur,Tackle
2,Ivysaur,Vine Whip
2,Ivysaur,Leech Seed
2,Ivysaur,Razor Leaf
2,Ivysaur,Poison Powder
2,Ivysaur,Sleep Powder
2,Ivysaur,Seed Bomb
2,Ivysaur,Take Down
2,Ivysaur,Sweet Scent
2,Ivysaur,Synthesis
2,Ivysaur,Worry Seed
2,Ivysaur,Double-Edge
2,Ivysaur,Solar Beam
2,Ivysaur,Curse
2,Ivysaur,Ingrain
2,Ivysaur,Nature Power
2,Ivysaur,Petal Dance
2,Ivysaur,Skull Bash
2,Ivysaur,Toxic
2,Ivysaur,Grassy Glide
2,Ivysaur,Magical Leaf
2,Ivysaur,Solar Beam
2,Ivysaur,Light Screen
2,Ivysaur,Safeguard
2,Ivysaur,Rest
2,Ivysaur,Snore
2,Ivysaur,Protect
2,Ivysaur,Giga Drain
2,Ivysaur,Charm
2,Ivysaur,Attract
2,Ivysaur,Sunny Day
2,Ivysaur,Facade
2,Ivysaur,Helping Hand
2,Ivysaur,Weather Ball
2,Ivysaur,Bullet Seed
2,Ivysaur,Venoshock
2,Ivysaur,Round
2,Ivysaur,Grassy Terrain
2,Ivysaur,False Swipe
2,Ivysaur,Swords Dance
2,Ivysaur,Body Slam
2,Ivysaur,Amnesia
2,Ivysaur,Substitute
2,Ivysaur,Sludge Bomb
2,Ivysaur,Endure
2,Ivysaur,Sleep Talk
2,Ivysaur,Seed Bomb
2,Ivysaur,Energy Ball
2,Ivysaur,Leaf Storm
2,Ivysaur,Power Whip
2,Ivysaur,Grass Knot
2,Ivysaur,Work Up
3,Venusaur,Growl
3,Venusaur,Growth
3,Venusaur,Petal Blizzard
3,Venusaur,Petal Dance
3,Venusaur,Tackle
3,Venusaur,Vine Whip
3,Venusaur,Leech Seed
3,Venusaur,Razor Leaf
3,Venusaur,Poison Powder
3,Venusaur,Sleep Powder
3,Venusaur,Seed Bomb
3,Venusaur,Take Down
3,Venusaur,Sweet Scent
3,Venusaur,Synthesis
3,Venusaur,Worry Seed
3,Venusaur,Double-Edge
3,Venusaur,Solar Beam
3,Venusaur,Petal Blizzard
3,Venusaur,Curse
3,Venusaur,Ingrain
3,Venusaur,Nature Power
3,Venusaur,Petal Dance
3,Venusaur,Skull Bash
3,Venusaur,Toxic
3,Venusaur,Grassy Glide
3,Venusaur,Terrain Pulse
3,Venusaur,Hyper Beam
3,Venusaur,Giga Impact
3,Venusaur,Magical Leaf
3,Venusaur,Solar Beam
3,Venusaur,Light Screen
3,Venusaur,Safeguard
3,Venusaur,Rest
3,Venusaur,Snore
3,Venusaur,Protect
3,Venusaur,Giga Drain
3,Venusaur,Charm
3,Venusaur,Attract
3,Venusaur,Sunny Day
3,Venusaur,Facade
3,Venusaur,Helping Hand
3,Venusaur,Weather Ball
3,Venusaur,Bullet Seed
3,Venusaur,Venoshock
3,Venusaur,Round
3,Venusaur,Bulldoze
3,Venusaur,Grassy Terrain
3,Venusaur,False Swipe
3,Venusaur,Stomping Tantrum
3,Venusaur,Swords Dance
3,Venusaur,Body Slam
3,Venusaur,Earthquake
3,Venusaur,Amnesia
3,Venusaur,Substitute
3,Venusaur,Sludge Bomb
3,Venusaur,Outrage
3,Venusaur,Endure
3,Venusaur,Sleep Talk
3,Venusaur,Seed Bomb
3,Venusaur,Energy Ball
3,Venusaur,Earth Power
3,Venusaur,Leaf Storm
3,Venusaur,Power Whip
3,Venusaur,Grass Knot
3,Venusaur,Work Up
4,Charmander,Growl
4,Charmander,Scratch
4,Charmander,Ember
4,Charmander,Smokescreen
4,Charmander,Dragon Breath
4,Charmander,Fire Fang
4,Charmander,Slash
4,Charmander,Flamethrower
4,Charmander,Scary Face
4,Charmander,Fire Spin
4,Charmander,Inferno
4,Charmander,Flare Blitz
4,Charmander,Ancient Power
4,Charmander,Belly Drum
4,Charmander,Bite
4,Charmander,Counter
4,Charmander,Dragon Rush
4,Charmander,Dragon Tail
4,Charmander,Metal Claw
4,Charmander,Wing Attack
4,Charmander,Mega Punch
4,Charmander,Mega Kick
4,Charmander,Fire Punch
4,Charmander,Thunder Punch
4,Charmander,Fire Spin
4,Charmander,Dig
4,Charmander,Rest
4,Charmander,Rock Slide
4,Charmander,Snore
4,Charmander,Protect
4,Charmander,Scary Face
4,Charmander,Attract
4,Charmander,Sunny Day
4,Charmander,Beat Up
4,Charmander,Will-O-Wisp
4,Charmander,Facade
4,Charmander,Swift
4,Charmander,Helping Hand
4,Charmander,Brick Break
4,Charmander,Weather Ball
4,Charmander,Rock Tomb
4,Charmander,Fling
4,Charmander,Shadow Claw
4,Charmander,Fire Fang
4,Charmander,Round
4,Charmander,Acrobatics
4,Charmander,False Swipe
4,Charmander,Swords Dance
4,Charmander,Body Slam
4,Charmander,Flamethrower
4,Charmander,Fire Blast
4,Charmander,Substitute
4,Charmander,Outrage
4,Charmander,Endure
4,Charmander,Sleep Talk
4,Charmander,Iron Tail
4,Charmander,Crunch
4,Charmander,Heat Wave
